name,date,value,z_score
SSR RSI Smoothed,2014-07-14,,
SSR RSI Smoothed,2014-07-15,,
SSR RSI Smoothed,2014-07-16,,
SSR RSI Smoothed,2014-07-17,,
SSR RSI Smoothed,2014-07-18,,
SSR RSI Smoothed,2014-07-19,,
SSR RSI Smoothed,2014-07-20,,
SSR RSI Smoothed,2014-07-21,,
SSR RSI Smoothed,2014-07-22,,
SSR RSI Smoothed,2014-07-23,,
SSR RSI Smoothed,2014-07-24,,
SSR RSI Smoothed,2014-07-25,,
SSR RSI Smoothed,2014-07-26,,
SSR RSI Smoothed,2014-07-27,,
SSR RSI Smoothed,2014-07-28,,
SSR RSI Smoothed,2014-07-29,,
SSR RSI Smoothed,2014-07-30,,
SSR RSI Smoothed,2014-07-31,,
SSR RSI Smoothed,2014-08-01,,
SSR RSI Smoothed,2014-08-02,,
SSR RSI Smoothed,2014-08-03,,
SSR RSI Smoothed,2014-08-04,,
SSR RSI Smoothed,2014-08-05,,
SSR RSI Smoothed,2014-08-06,,
SSR RSI Smoothed,2014-08-07,,
SSR RSI Smoothed,2014-08-08,,
SSR RSI Smoothed,2014-08-09,,
SSR RSI Smoothed,2014-08-10,,
SSR RSI Smoothed,2014-08-11,,
SSR RSI Smoothed,2014-08-12,,
SSR RSI Smoothed,2014-08-13,,
SSR RSI Smoothed,2014-08-14,,
SSR RSI Smoothed,2014-08-15,,
SSR RSI Smoothed,2014-08-16,,
SSR RSI Smoothed,2014-08-17,,
SSR RSI Smoothed,2014-08-18,,
SSR RSI Smoothed,2014-08-19,,
SSR RSI Smoothed,2014-08-20,,
SSR RSI Smoothed,2014-08-21,,
SSR RSI Smoothed,2014-08-22,,
SSR RSI Smoothed,2014-08-23,,
SSR RSI Smoothed,2014-08-24,,
SSR RSI Smoothed,2014-08-25,,
SSR RSI Smoothed,2014-08-26,,
SSR RSI Smoothed,2014-08-27,,
SSR RSI Smoothed,2014-08-28,,
SSR RSI Smoothed,2014-08-29,,
SSR RSI Smoothed,2014-08-30,,
SSR RSI Smoothed,2014-08-31,,
SSR RSI Smoothed,2014-09-01,,
SSR RSI Smoothed,2014-09-02,,
SSR RSI Smoothed,2014-09-03,,
SSR RSI Smoothed,2014-09-04,,
SSR RSI Smoothed,2014-09-05,,
SSR RSI Smoothed,2014-09-06,,
SSR RSI Smoothed,2014-09-07,,
SSR RSI Smoothed,2014-09-08,,
SSR RSI Smoothed,2014-09-09,,
SSR RSI Smoothed,2014-09-10,,
SSR RSI Smoothed,2014-09-11,,
SSR RSI Smoothed,2014-09-12,,
SSR RSI Smoothed,2014-09-13,,
SSR RSI Smoothed,2014-09-14,,
SSR RSI Smoothed,2014-09-15,,
SSR RSI Smoothed,2014-09-16,,
SSR RSI Smoothed,2014-09-17,,
SSR RSI Smoothed,2014-09-18,,
SSR RSI Smoothed,2014-09-19,,
SSR RSI Smoothed,2014-09-20,,
SSR RSI Smoothed,2014-09-21,,
SSR RSI Smoothed,2014-09-22,,
SSR RSI Smoothed,2014-09-23,,
SSR RSI Smoothed,2014-09-24,,
SSR RSI Smoothed,2014-09-25,,
SSR RSI Smoothed,2014-09-26,,
SSR RSI Smoothed,2014-09-27,,
SSR RSI Smoothed,2014-09-28,,
SSR RSI Smoothed,2014-09-29,,
SSR RSI Smoothed,2014-09-30,,
SSR RSI Smoothed,2014-10-01,,
SSR RSI Smoothed,2014-10-02,,
SSR RSI Smoothed,2014-10-03,,
SSR RSI Smoothed,2014-10-04,,
SSR RSI Smoothed,2014-10-05,,
SSR RSI Smoothed,2014-10-06,,
SSR RSI Smoothed,2014-10-07,,
SSR RSI Smoothed,2014-10-08,,
SSR RSI Smoothed,2014-10-09,,
SSR RSI Smoothed,2014-10-10,,
SSR RSI Smoothed,2014-10-11,,
SSR RSI Smoothed,2014-10-12,,
SSR RSI Smoothed,2014-10-13,,
SSR RSI Smoothed,2014-10-14,,
SSR RSI Smoothed,2014-10-15,,
SSR RSI Smoothed,2014-10-16,,
SSR RSI Smoothed,2014-10-17,,
SSR RSI Smoothed,2014-10-18,,
SSR RSI Smoothed,2014-10-19,,
SSR RSI Smoothed,2014-10-20,,
SSR RSI Smoothed,2014-10-21,,
SSR RSI Smoothed,2014-10-22,,
SSR RSI Smoothed,2014-10-23,,
SSR RSI Smoothed,2014-10-24,,
SSR RSI Smoothed,2014-10-25,,
SSR RSI Smoothed,2014-10-26,,
SSR RSI Smoothed,2014-10-27,,
SSR RSI Smoothed,2014-10-28,,
SSR RSI Smoothed,2014-10-29,,
SSR RSI Smoothed,2014-10-30,,
SSR RSI Smoothed,2014-10-31,,
SSR RSI Smoothed,2014-11-01,,
SSR RSI Smoothed,2014-11-02,,
SSR RSI Smoothed,2014-11-03,,
SSR RSI Smoothed,2014-11-04,,
SSR RSI Smoothed,2014-11-05,,
SSR RSI Smoothed,2014-11-06,,
SSR RSI Smoothed,2014-11-07,,
SSR RSI Smoothed,2014-11-08,,
SSR RSI Smoothed,2014-11-09,,
SSR RSI Smoothed,2014-11-10,,
SSR RSI Smoothed,2014-11-11,,
SSR RSI Smoothed,2014-11-12,,
SSR RSI Smoothed,2014-11-13,,
SSR RSI Smoothed,2014-11-14,,
SSR RSI Smoothed,2014-11-15,,
SSR RSI Smoothed,2014-11-16,,
SSR RSI Smoothed,2014-11-17,,
SSR RSI Smoothed,2014-11-18,,
SSR RSI Smoothed,2014-11-19,,
SSR RSI Smoothed,2014-11-20,,
SSR RSI Smoothed,2014-11-21,,
SSR RSI Smoothed,2014-11-22,,
SSR RSI Smoothed,2014-11-23,,
SSR RSI Smoothed,2014-11-24,,
SSR RSI Smoothed,2014-11-25,,
SSR RSI Smoothed,2014-11-26,,
SSR RSI Smoothed,2014-11-27,,
SSR RSI Smoothed,2014-11-28,,
SSR RSI Smoothed,2014-11-29,,
SSR RSI Smoothed,2014-11-30,,
SSR RSI Smoothed,2014-12-01,,
SSR RSI Smoothed,2014-12-02,,
SSR RSI Smoothed,2014-12-03,,
SSR RSI Smoothed,2014-12-04,,
SSR RSI Smoothed,2014-12-05,,
SSR RSI Smoothed,2014-12-06,,
SSR RSI Smoothed,2014-12-07,,
SSR RSI Smoothed,2014-12-08,,
SSR RSI Smoothed,2014-12-09,,
SSR RSI Smoothed,2014-12-10,,
SSR RSI Smoothed,2014-12-11,,
SSR RSI Smoothed,2014-12-12,,
SSR RSI Smoothed,2014-12-13,,
SSR RSI Smoothed,2014-12-14,,
SSR RSI Smoothed,2014-12-15,,
SSR RSI Smoothed,2014-12-16,,
SSR RSI Smoothed,2014-12-17,,
SSR RSI Smoothed,2014-12-18,,
SSR RSI Smoothed,2014-12-19,,
SSR RSI Smoothed,2014-12-20,,
SSR RSI Smoothed,2014-12-21,,
SSR RSI Smoothed,2014-12-22,,
SSR RSI Smoothed,2014-12-23,,
SSR RSI Smoothed,2014-12-24,,
SSR RSI Smoothed,2014-12-25,,
SSR RSI Smoothed,2014-12-26,,
SSR RSI Smoothed,2014-12-27,,
SSR RSI Smoothed,2014-12-28,,
SSR RSI Smoothed,2014-12-29,,
SSR RSI Smoothed,2014-12-30,,
SSR RSI Smoothed,2014-12-31,,
SSR RSI Smoothed,2015-01-01,,
SSR RSI Smoothed,2015-01-02,,
SSR RSI Smoothed,2015-01-03,,
SSR RSI Smoothed,2015-01-04,,
SSR RSI Smoothed,2015-01-05,,
SSR RSI Smoothed,2015-01-06,,
SSR RSI Smoothed,2015-01-07,,
SSR RSI Smoothed,2015-01-08,,
SSR RSI Smoothed,2015-01-09,,
SSR RSI Smoothed,2015-01-10,,
SSR RSI Smoothed,2015-01-11,,
SSR RSI Smoothed,2015-01-12,,
SSR RSI Smoothed,2015-01-13,,
SSR RSI Smoothed,2015-01-14,,
SSR RSI Smoothed,2015-01-15,,
SSR RSI Smoothed,2015-01-16,,
SSR RSI Smoothed,2015-01-17,,
SSR RSI Smoothed,2015-01-18,,
SSR RSI Smoothed,2015-01-19,,
SSR RSI Smoothed,2015-01-20,,
SSR RSI Smoothed,2015-01-21,,
SSR RSI Smoothed,2015-01-22,,
SSR RSI Smoothed,2015-01-23,,
SSR RSI Smoothed,2015-01-24,,
SSR RSI Smoothed,2015-01-25,,
SSR RSI Smoothed,2015-01-26,,
SSR RSI Smoothed,2015-01-27,,
SSR RSI Smoothed,2015-01-28,,
SSR RSI Smoothed,2015-01-29,,
SSR RSI Smoothed,2015-01-30,,
SSR RSI Smoothed,2015-01-31,,
SSR RSI Smoothed,2015-02-01,,
SSR RSI Smoothed,2015-02-02,,
SSR RSI Smoothed,2015-02-03,,
SSR RSI Smoothed,2015-02-04,,
SSR RSI Smoothed,2015-02-05,,
SSR RSI Smoothed,2015-02-06,,
SSR RSI Smoothed,2015-02-07,,
SSR RSI Smoothed,2015-02-08,,
SSR RSI Smoothed,2015-02-09,,
SSR RSI Smoothed,2015-02-10,,
SSR RSI Smoothed,2015-02-11,,
SSR RSI Smoothed,2015-02-12,,
SSR RSI Smoothed,2015-02-13,,
SSR RSI Smoothed,2015-02-14,,
SSR RSI Smoothed,2015-02-15,,
SSR RSI Smoothed,2015-02-16,,
SSR RSI Smoothed,2015-02-17,,
SSR RSI Smoothed,2015-02-18,,
SSR RSI Smoothed,2015-02-19,,
SSR RSI Smoothed,2015-02-20,,
SSR RSI Smoothed,2015-02-21,,
SSR RSI Smoothed,2015-02-22,,
SSR RSI Smoothed,2015-02-23,,
SSR RSI Smoothed,2015-02-24,,
SSR RSI Smoothed,2015-02-25,,
SSR RSI Smoothed,2015-02-26,,
SSR RSI Smoothed,2015-02-27,,
SSR RSI Smoothed,2015-02-28,,
SSR RSI Smoothed,2015-03-01,,
SSR RSI Smoothed,2015-03-02,,
SSR RSI Smoothed,2015-03-03,,
SSR RSI Smoothed,2015-03-04,,
SSR RSI Smoothed,2015-03-05,,
SSR RSI Smoothed,2015-03-06,,
SSR RSI Smoothed,2015-03-07,,
SSR RSI Smoothed,2015-03-08,,
SSR RSI Smoothed,2015-03-09,,
SSR RSI Smoothed,2015-03-10,,
SSR RSI Smoothed,2015-03-11,,
SSR RSI Smoothed,2015-03-12,,
SSR RSI Smoothed,2015-03-13,,
SSR RSI Smoothed,2015-03-14,,
SSR RSI Smoothed,2015-03-15,,
SSR RSI Smoothed,2015-03-16,,
SSR RSI Smoothed,2015-03-17,,
SSR RSI Smoothed,2015-03-18,,
SSR RSI Smoothed,2015-03-19,,
SSR RSI Smoothed,2015-03-20,,
SSR RSI Smoothed,2015-03-21,,
SSR RSI Smoothed,2015-03-22,,
SSR RSI Smoothed,2015-03-23,,
SSR RSI Smoothed,2015-03-24,,
SSR RSI Smoothed,2015-03-25,,
SSR RSI Smoothed,2015-03-26,,
SSR RSI Smoothed,2015-03-27,,
SSR RSI Smoothed,2015-03-28,,
SSR RSI Smoothed,2015-03-29,,
